results_dir,scenario,mode,agent_meta_enabled,avg_prompt_tokens,avg_latency,avg_ttft,success_rate,avg_score,avg_raw_tool_tokens,avg_injected_tool_tokens,avg_tool_compression_ratio,avg_branch_saving_ratio,cache_stats_available,agent_id
results_tool_heavy_final,tool-heavy,baseline,,13697.0,4.193704979000358,1.6769038550000914,100.0,1.0,6112.0,6112.0,1.0,0.0,,
results_tool_heavy_final,tool-heavy,optimized,,2086.0,11.739564361000703,0.29615698199995677,100.0,1.0,6112.0,375.0,0.061354712041884814,0.0,,
results_long_session_final,long-session,full_history,,2322.34,0.8236718316599582,0.3194951792400025,98.0,0.995,0.0,0.0,0.0,0.0,,
results_long_session_final,long-session,event_sourced_memory,,2503.6,3.4041554664999785,0.48223994167989076,98.0,0.99333334,0.0,0.0,0.0,0.0,,
results_long_session_final,long-session,summary_memory,,1665.94,1.3752708927199455,0.5063411036999969,98.0,0.99166666,0.0,0.0,0.0,0.0,,
results_multi_stage_final,multi-stage,full_history,,10845.25,4.825833519250182,1.1154185732500537,50.0,0.89166675,1528.0,1528.0,1.0,0.0,,
results_multi_stage_final,multi-stage,event_sourced_memory,,1198.75,7.716288419250532,0.3518412692503716,100.0,1.0,1528.0,93.75,0.7653386780104712,0.0,,
results_multi_stage_final,multi-stage,summary_memory,,1550.25,5.4768447505000495,0.4411217670001406,75.0,0.975,1528.0,93.75,0.7653386780104712,0.0,,
results_branching_final,branching,both,,6248.666666666667,12.52118578749984,0.532279116999689,100.0,1.0,0.0,0.0,0.0,0.3138185654008439,,
results_branching_final,branching,baseline,,9585.333333333334,10.81540589899972,0.7684637316663915,100.0,1.0,0.0,0.0,0.0,0.0,,
results_branching_final,branching,optimized,,2912.0,14.226965675999963,0.29609450233298656,100.0,1.0,0.0,0.0,0.0,0.6276371308016878,,
results_prefix_cache_final,prefix-cache,baseline,,324.1666666666667,3.162347887166561,0.6282959516664354,100.0,1.0,0.0,0.0,0.0,0.0,,
results_prefix_cache_final,prefix-cache,optimized,,358.0,4.125239071333302,0.3075531141665427,100.0,1.0,0.0,0.0,0.0,0.0,,
results_cache_pressure_on_final,cache-pressure,sessions_4,True,5483.8,2.745731302650347,0.9550059798499205,100.0,1.0,0.0,0.0,0.0,0.0,True,
results_cache_pressure_off_final,cache-pressure,sessions_4,False,5483.8,2.437991168150256,0.41750076775060735,100.0,1.0,0.0,0.0,0.0,0.0,True,
results_ttl_priority_on_final,ttl-priority,ttl_priority,True,3958.0,11.02986983380033,0.954303383801016,100.0,1.0,0.0,0.0,0.0,0.0,True,
