experiment_id,run_id,trial_id,agent_id,session_id,scenario,variant,model,seed,timestamp,git_commit,task_id,workload_file,mode,memory_mode,backend,round,stage,prompt_tokens,output_tokens,total_tokens,latency,total_latency,model_request_latency,ttft,ttft_status,ttft_reason,tool_execution_latency,tokens_per_second,tokens_per_second_status,tokens_per_second_reason,peak_gpu_memory_mb,peak_gpu_memory_mb_status,peak_gpu_memory_mb_reason,success,score,failure_reason,passed_checks,total_checks,extractor_effective,extractor_status,extractor_success_count,extractor_failure_count,refill_count,refill_tokens,initial_score,final_score,agent_meta_enabled,agent_meta_sent,agent_meta_agent_id,agent_meta_session_id,agent_meta_context_id,agent_meta_segment_type,agent_meta_priority,cache_stats_available,cache_stats_unavailable_reason,cache_stats_scope,cache_total_blocks,cache_total_blocks_status,cache_total_blocks_reason,cache_agent_sessions,cache_agent_sessions_status,cache_agent_sessions_reason,cache_tool_result_blocks,cache_tool_result_blocks_status,cache_tool_result_blocks_reason,cache_shared_prefix_blocks,cache_shared_prefix_blocks_status,cache_shared_prefix_blocks_reason,cache_scratchpad_blocks,cache_scratchpad_blocks_status,cache_scratchpad_blocks_reason,cache_expired_branch_blocks,cache_expired_branch_blocks_status,cache_expired_branch_blocks_reason,branch_count,shared_context_tokens,branch_delta_tokens,duplicated_context_tokens,optimized_context_tokens,branch_saving_ratio,branch_answer_tokens
exp_378d41c46a7d,run_486f53f41312,trial_33a5a715f4b3,agentmem_branching_config_1784891448,session_a67b611d005f,branching,optimized,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:12:45Z,87a752d,branching_agentmem_tradeoff,benchmarks/tasks/branching.jsonl,optimized,optimized,vllm,2,branching,2288,462,2818,3.432011535000129,3.432011535000129,3.432011535000129,0.1461899120004091,ok,,,134.6149321727098,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,5,5,,,,,,,,,True,,,,,,,True,,global,6502,ok,,318,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,2,1820,468,4108,2288,0.4430379746835443,26
exp_378d41c46a7d,run_486f53f41312,trial_2d2f82a72856,agentmem_branching_config_1784891448,session_fa9d3293266c,branching,optimized,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:12:45Z,87a752d,branching_agentmem_tradeoff,benchmarks/tasks/branching.jsonl,optimized,optimized,vllm,4,branching,2756,512,2925,3.827801196999644,3.827801196999644,3.827801196999644,0.15331447799871967,ok,,,133.75825275391063,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,5,5,,,,,,,,,True,,,,,,,True,,global,6502,ok,,318,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,4,1820,936,8216,2756,0.6645569620253164,56
exp_378d41c46a7d,run_486f53f41312,trial_022d0e11c23f,agentmem_branching_config_1784891448,session_c4b22a163626,branching,optimized,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:12:45Z,87a752d,branching_agentmem_tradeoff,benchmarks/tasks/branching.jsonl,optimized,optimized,vllm,8,branching,3692,512,3056,3.846414965999429,3.846414965999429,3.846414965999429,0.13341110600049433,ok,,,133.1109629423369,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,5,5,,,,,,,,,True,,,,,,,True,,global,6502,ok,,318,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,8,1820,1872,16432,3692,0.7753164556962026,113
exp_378d41c46a7d,run_486f53f41312,trial_33a5a715f4b3,agentmem_branching_config_1784891448,session_a67b611d005f,branching,optimized,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:12:45Z,87a752d,branching_agentmem_tradeoff,benchmarks/tasks/branching.jsonl,optimized,optimized,vllm,2,branching,2288,462,2818,3.468243496001378,3.468243496001378,3.468243496001378,0.16256667200104857,ok,,,133.20864020437176,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,5,5,,,,,,,,,True,,,,,,,True,,global,6502,ok,,318,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,2,1820,468,4108,2288,0.4430379746835443,26
exp_378d41c46a7d,run_486f53f41312,trial_2d2f82a72856,agentmem_branching_config_1784891448,session_fa9d3293266c,branching,optimized,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:12:45Z,87a752d,branching_agentmem_tradeoff,benchmarks/tasks/branching.jsonl,optimized,optimized,vllm,4,branching,2756,512,2925,3.8747347200005606,3.8747347200005606,3.8747347200005606,0.21758601400142652,ok,,,132.13807834563858,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,5,5,,,,,,,,,True,,,,,,,True,,global,6502,ok,,318,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,4,1820,936,8216,2756,0.6645569620253164,56
exp_378d41c46a7d,run_486f53f41312,trial_022d0e11c23f,agentmem_branching_config_1784891448,session_c4b22a163626,branching,optimized,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:12:45Z,87a752d,branching_agentmem_tradeoff,benchmarks/tasks/branching.jsonl,optimized,optimized,vllm,8,branching,3692,512,3056,3.8806902280011855,3.8806902280011855,3.8806902280011855,0.14442635100022017,ok,,,131.93529241413174,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,5,5,,,,,,,,,True,,,,,,,True,,global,6502,ok,,318,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,8,1820,1872,16432,3692,0.7753164556962026,113
exp_378d41c46a7d,run_486f53f41312,trial_33a5a715f4b3,agentmem_branching_config_1784891448,session_a67b611d005f,branching,optimized,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:12:45Z,87a752d,branching_agentmem_tradeoff,benchmarks/tasks/branching.jsonl,optimized,optimized,vllm,2,branching,2288,462,2818,3.4610358310001175,3.4610358310001175,3.4610358310001175,0.1557366409997485,ok,,,133.48604942541095,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,5,5,,,,,,,,,True,,,,,,,True,,global,6502,ok,,318,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,2,1820,468,4108,2288,0.4430379746835443,26
exp_378d41c46a7d,run_486f53f41312,trial_2d2f82a72856,agentmem_branching_config_1784891448,session_fa9d3293266c,branching,optimized,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:12:45Z,87a752d,branching_agentmem_tradeoff,benchmarks/tasks/branching.jsonl,optimized,optimized,vllm,4,branching,2756,512,2925,3.8328948889993626,3.8328948889993626,3.8328948889993626,0.15222355999867432,ok,,,133.58049589866673,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,5,5,,,,,,,,,True,,,,,,,True,,global,6502,ok,,318,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,4,1820,936,8216,2756,0.6645569620253164,56
exp_378d41c46a7d,run_486f53f41312,trial_022d0e11c23f,agentmem_branching_config_1784891448,session_c4b22a163626,branching,optimized,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:12:45Z,87a752d,branching_agentmem_tradeoff,benchmarks/tasks/branching.jsonl,optimized,optimized,vllm,8,branching,3692,512,3056,3.875838351999846,3.875838351999846,3.875838351999846,0.13909934099865495,ok,,,132.10045247006224,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,5,5,,,,,,,,,True,,,,,,,True,,global,6502,ok,,318,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,8,1820,1872,16432,3692,0.7753164556962026,113
exp_378d41c46a7d,run_486f53f41312,trial_33a5a715f4b3,agentmem_branching_config_1784891448,session_a67b611d005f,branching,optimized,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:12:45Z,87a752d,branching_agentmem_tradeoff,benchmarks/tasks/branching.jsonl,optimized,optimized,vllm,2,branching,2288,462,2818,3.476993081998444,3.476993081998444,3.476993081998444,0.14596946899837349,ok,,,132.8734308940471,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,5,5,,,,,,,,,True,,,,,,,True,,global,6502,ok,,318,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,2,1820,468,4108,2288,0.4430379746835443,26
