experiment_id,run_id,trial_id,agent_id,session_id,scenario,variant,model,seed,timestamp,git_commit,task_id,workload_file,mode,memory_mode,backend,round,stage,prompt_tokens,output_tokens,total_tokens,latency,total_latency,model_request_latency,ttft,ttft_status,ttft_reason,tool_execution_latency,tokens_per_second,tokens_per_second_status,tokens_per_second_reason,peak_gpu_memory_mb,peak_gpu_memory_mb_status,peak_gpu_memory_mb_reason,success,score,failure_reason,passed_checks,total_checks,extractor_effective,extractor_status,extractor_success_count,extractor_failure_count,refill_count,refill_tokens,initial_score,final_score,agent_meta_enabled,agent_meta_sent,agent_meta_agent_id,agent_meta_session_id,agent_meta_context_id,agent_meta_segment_type,agent_meta_priority,cache_stats_available,cache_stats_unavailable_reason,cache_stats_scope,cache_total_blocks,cache_total_blocks_status,cache_total_blocks_reason,cache_agent_sessions,cache_agent_sessions_status,cache_agent_sessions_reason,cache_tool_result_blocks,cache_tool_result_blocks_status,cache_tool_result_blocks_reason,cache_shared_prefix_blocks,cache_shared_prefix_blocks_status,cache_shared_prefix_blocks_reason,cache_scratchpad_blocks,cache_scratchpad_blocks_status,cache_scratchpad_blocks_reason,cache_expired_branch_blocks,cache_expired_branch_blocks_status,cache_expired_branch_blocks_reason,branch_count,shared_context_tokens,branch_delta_tokens,duplicated_context_tokens,optimized_context_tokens,branch_saving_ratio,branch_answer_tokens
exp_378d41c46a7d,run_8195382e1432,trial_daa2a3654527,agentmem_branching_config_1784891448,session_f10fee858472,branching,baseline,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:11:49Z,87a752d,branching_agentmem_tradeoff,benchmarks/tasks/branching.jsonl,baseline,baseline,vllm,2,branching,4108,476,2832,3.9599466210001992,3.9599466210001992,3.9599466210001992,0.5472160420013097,ok,,,120.20364049244998,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,5,5,,,,,,,,,True,,,,,,,True,,global,6516,ok,,318,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,2,1820,468,4108,4108,0.0,26
exp_378d41c46a7d,run_8195382e1432,trial_1a41c0ae9f4d,agentmem_branching_config_1784891448,session_07fdb2256019,branching,baseline,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:11:49Z,87a752d,branching_agentmem_tradeoff,benchmarks/tasks/branching.jsonl,baseline,baseline,vllm,4,branching,8216,512,2925,4.225825548001012,4.225825548001012,4.225825548001012,0.1261768900003517,ok,,,121.15975782346172,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,5,5,,,,,,,,,True,,,,,,,True,,global,6516,ok,,318,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,4,1820,936,8216,8216,0.0,56
exp_378d41c46a7d,run_8195382e1432,trial_587ebcfc0b0a,agentmem_branching_config_1784891448,session_166e490b6077,branching,baseline,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:11:49Z,87a752d,branching_agentmem_tradeoff,benchmarks/tasks/branching.jsonl,baseline,baseline,vllm,8,branching,16432,512,3056,3.84781556300004,3.84781556300004,3.84781556300004,0.19365687299978163,ok,,,133.06251082388343,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,5,5,,,,,,,,,True,,,,,,,True,,global,6516,ok,,318,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,8,1820,1872,16432,16432,0.0,113
exp_378d41c46a7d,run_8195382e1432,trial_daa2a3654527,agentmem_branching_config_1784891448,session_f10fee858472,branching,baseline,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:11:49Z,87a752d,branching_agentmem_tradeoff,benchmarks/tasks/branching.jsonl,baseline,baseline,vllm,2,branching,4108,462,2818,3.4011702289990353,3.4011702289990353,3.4011702289990353,0.1292670629991335,ok,,,135.83560036510335,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,5,5,,,,,,,,,True,,,,,,,True,,global,6516,ok,,318,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,2,1820,468,4108,4108,0.0,26
exp_378d41c46a7d,run_8195382e1432,trial_1a41c0ae9f4d,agentmem_branching_config_1784891448,session_07fdb2256019,branching,baseline,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:11:49Z,87a752d,branching_agentmem_tradeoff,benchmarks/tasks/branching.jsonl,baseline,baseline,vllm,4,branching,8216,512,2925,3.82124368499899,3.82124368499899,3.82124368499899,0.18447267599913175,ok,,,133.98779094093166,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,5,5,,,,,,,,,True,,,,,,,True,,global,6516,ok,,318,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,4,1820,936,8216,8216,0.0,56
exp_378d41c46a7d,run_8195382e1432,trial_587ebcfc0b0a,agentmem_branching_config_1784891448,session_166e490b6077,branching,baseline,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:11:49Z,87a752d,branching_agentmem_tradeoff,benchmarks/tasks/branching.jsonl,baseline,baseline,vllm,8,branching,16432,512,3056,3.841904082999463,3.841904082999463,3.841904082999463,0.13575106299867912,ok,,,133.26725210699945,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,5,5,,,,,,,,,True,,,,,,,True,,global,6516,ok,,318,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,8,1820,1872,16432,16432,0.0,113
exp_378d41c46a7d,run_8195382e1432,trial_daa2a3654527,agentmem_branching_config_1784891448,session_f10fee858472,branching,baseline,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:11:49Z,87a752d,branching_agentmem_tradeoff,benchmarks/tasks/branching.jsonl,baseline,baseline,vllm,2,branching,4108,462,2818,3.484050388000469,3.484050388000469,3.484050388000469,0.15090443900044193,ok,,,132.60428195619363,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,5,5,,,,,,,,,True,,,,,,,True,,global,6516,ok,,318,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,2,1820,468,4108,4108,0.0,26
exp_378d41c46a7d,run_8195382e1432,trial_1a41c0ae9f4d,agentmem_branching_config_1784891448,session_07fdb2256019,branching,baseline,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:11:49Z,87a752d,branching_agentmem_tradeoff,benchmarks/tasks/branching.jsonl,baseline,baseline,vllm,4,branching,8216,512,2925,3.8316354580001644,3.8316354580001644,3.8316354580001644,0.1306809939997038,ok,,,133.62440284630492,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,5,5,,,,,,,,,True,,,,,,,True,,global,6516,ok,,318,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,4,1820,936,8216,8216,0.0,56
exp_378d41c46a7d,run_8195382e1432,trial_587ebcfc0b0a,agentmem_branching_config_1784891448,session_166e490b6077,branching,baseline,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:11:49Z,87a752d,branching_agentmem_tradeoff,benchmarks/tasks/branching.jsonl,baseline,baseline,vllm,8,branching,16432,512,3056,3.9105072129987093,3.9105072129987093,3.9105072129987093,0.14425070299876097,ok,,,130.9293071492332,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,5,5,,,,,,,,,True,,,,,,,True,,global,6516,ok,,318,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,8,1820,1872,16432,16432,0.0,113
exp_378d41c46a7d,run_8195382e1432,trial_daa2a3654527,agentmem_branching_config_1784891448,session_f10fee858472,branching,baseline,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:11:49Z,87a752d,branching_agentmem_tradeoff,benchmarks/tasks/branching.jsonl,baseline,baseline,vllm,2,branching,4108,462,2818,3.695180276999963,3.695180276999963,3.695180276999963,0.5448617640013254,ok,,,125.02772946576988,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,5,5,,,,,,,,,True,,,,,,,True,,global,6516,ok,,318,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,2,1820,468,4108,4108,0.0,26
exp_378d41c46a7d,run_8195382e1432,trial_1a41c0ae9f4d,agentmem_branching_config_1784891448,session_07fdb2256019,branching,baseline,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:11:49Z,87a752d,branching_agentmem_tradeoff,benchmarks/tasks/branching.jsonl,baseline,baseline,vllm,4,branching,8216,512,2925,3.808553118000418,3.808553118000418,3.808553118000418,0.14467735000107496,ok,,,134.43425472527275,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,5,5,,,,,,,,,True,,,,,,,True,,global,6516,ok,,318,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,4,1820,936,8216,8216,0.0,56
exp_378d41c46a7d,run_8195382e1432,trial_587ebcfc0b0a,agentmem_branching_config_1784891448,session_166e490b6077,branching,baseline,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:11:49Z,87a752d,branching_agentmem_tradeoff,benchmarks/tasks/branching.jsonl,baseline,baseline,vllm,8,branching,16432,512,3056,4.119231566999588,4.119231566999588,4.119231566999588,0.12715890299841703,ok,,,124.29502728173554,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,5,5,,,,,,,,,True,,,,,,,True,,global,6516,ok,,318,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,8,1820,1872,16432,16432,0.0,113
exp_378d41c46a7d,run_8195382e1432,trial_daa2a3654527,agentmem_branching_config_1784891448,session_f10fee858472,branching,baseline,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:11:49Z,87a752d,branching_agentmem_tradeoff,benchmarks/tasks/branching.jsonl,baseline,baseline,vllm,2,branching,4108,462,2818,3.875308024998958,3.875308024998958,3.875308024998958,0.3896521610004129,ok,,,119.21632990712376,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,5,5,,,,,,,,,True,,,,,,,True,,global,6516,ok,,318,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,2,1820,468,4108,4108,0.0,26
exp_378d41c46a7d,run_8195382e1432,trial_1a41c0ae9f4d,agentmem_branching_config_1784891448,session_07fdb2256019,branching,baseline,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:11:49Z,87a752d,branching_agentmem_tradeoff,benchmarks/tasks/branching.jsonl,baseline,baseline,vllm,4,branching,8216,512,2925,4.655374126999959,4.655374126999959,4.655374126999959,1.133429621000687,ok,,,109.98041962525271,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,5,5,,,,,,,,,True,,,,,,,True,,global,6516,ok,,318,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,4,1820,936,8216,8216,0.0,56
exp_378d41c46a7d,run_8195382e1432,trial_587ebcfc0b0a,agentmem_branching_config_1784891448,session_166e490b6077,branching,baseline,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:11:49Z,87a752d,branching_agentmem_tradeoff,benchmarks/tasks/branching.jsonl,baseline,baseline,vllm,8,branching,16432,512,3056,3.933087778999834,3.933087778999834,3.933087778999834,0.14353720199869713,ok,,,130.17761839279348,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,5,5,,,,,,,,,True,,,,,,,True,,global,6516,ok,,318,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,8,1820,1872,16432,16432,0.0,113
