file,scenario,mode,rows,avg_prompt_tokens,avg_output_tokens,avg_total_tokens,avg_latency,avg_ttft,tokens_per_second,peak_gpu_memory_mb,success_rate,avg_score,avg_raw_tool_tokens,avg_injected_tool_tokens,avg_tool_compression_ratio,avg_state_view_tokens,avg_event_count,avg_snapshot_count,avg_branch_saving_ratio,agent_meta_enabled,agent_id,cache_stats_available,cache_stats_unavailable_reason,cache_total_blocks,cache_agent_sessions,cache_tool_result_blocks,cache_shared_prefix_blocks,cache_scratchpad_blocks,cache_expired_branch_blocks
branch_benchmark.csv,branching,both,30,6248.666666666667,495.8,2933.4666666666667,3.8040001487666815,0.2167989152665541,130.6163558066248,,100.0,1.0,,,,,,,0.31381856540084385,True,agentmem_branching_config_1784891448,True,,6502.0,318.0,,,,
branching_baseline.csv,branching,baseline,15,9585.333333333334,496.26666666666665,2933.9333333333334,3.8940555787331204,0.2817129162665272,127.8537282601673,,100.0,1.0,,,,,,,0.0,True,agentmem_branching_config_1784891448,True,,6516.0,318.0,,,,
branching_optimized.csv,branching,optimized,15,2912.0,495.3333333333333,2933.0,3.7139447188002426,0.151884914266581,133.3789833530823,,100.0,1.0,,,,,,,0.6276371308016877,True,agentmem_branching_config_1784891448,True,,6502.0,318.0,,,,
cache_pressure.csv,cache-pressure,sessions_4,20,5483.8,176.1,5659.9,1.8442619295999976,0.2892828276499131,94.44218141589782,,100.0,1.0,,,,,,,,True,agentmem_cache_pressure_config_1784891655,True,,6587.0,318.0,,,,
concurrent_agents.csv,concurrent-agents,optimized,1,49.0,465.0,514.0,3.633650216001115,0.4923452790008014,127.97049037695743,,100.0,1.0,,,,,,,,False,agentmem_concurrent_agents_config_1784891695,False,concurrent_agent_per_request_cache_not_collected,,,,,,
multi_stage_baseline.csv,multi-stage,full_history,20,4375.25,9.5,4384.75,0.2945719559997997,0.23278343479942123,16.770728645432794,,25.0,0.5458335,1528.0,1264.5,1.0,0.0,0.0,0.0,,True,agentmem_multi_stage_config_1784891069,True,,6566.0,307.0,,,,
multi_stage_event_sourced_memory.csv,multi-stage,event_sourced_memory,20,1323.85,288.05,1611.9,2.3593277054998,0.17490193065013954,122.869664653745,,25.0,0.66166665,1528.0,93.75,0.7653386780104712,493.3,11.2,0.65,,True,agentmem_multi_stage_config_1784891069,True,,6531.0,318.0,,,,
multi_stage_full_history.csv,multi-stage,full_history,20,4375.25,9.5,4384.75,0.2945719559997997,0.23278343479942123,16.770728645432794,,25.0,0.5458335,1528.0,1264.5,1.0,0.0,0.0,0.0,,True,agentmem_multi_stage_config_1784891069,True,,6566.0,307.0,,,,
multi_stage_optimized.csv,multi-stage,event_sourced_memory,20,1323.85,288.05,1611.9,2.3593277054998,0.17490193065013954,122.869664653745,,25.0,0.66166665,1528.0,93.75,0.7653386780104712,493.3,11.2,0.65,,True,agentmem_multi_stage_config_1784891069,True,,6531.0,318.0,,,,
multi_stage_summary_memory.csv,multi-stage,summary_memory,20,1639.05,332.65,1971.7,2.6084633084001325,0.23162676114998249,126.82760459735448,,80.0,0.96666665,1528.0,93.75,0.7653386780104712,0.0,0.0,0.0,,True,agentmem_multi_stage_config_1784891069,True,,6550.0,313.0,,,,
prefix_cache_baseline.csv,prefix-cache,baseline,30,326.23333333333335,134.16666666666666,460.4,1.0916601306666052,0.1502000846999484,120.46005274293508,,100.0,1.0,,,,,,,,True,agentmem_prefix_cache_config_1784891566,True,,6474.0,318.0,,,,
prefix_cache_optimized.csv,prefix-cache,optimized,30,359.3666666666667,54.93333333333333,414.3,0.6980197926332039,0.3085913801668236,91.90600153574199,,100.0,1.0,,,,,,,,True,agentmem_prefix_cache_config_1784891566,True,,6447.0,318.0,,,,
tool_heavy_baseline.csv,tool-heavy,baseline,5,5531.0,0.0,5531.0,0.20045576599950438,,0.0,,0.0,0.230769,6112.0,5058.0,1.0,,,,,True,agentmem_tool_heavy_config_1784890937,True,,6579.0,298.0,,,,
tool_heavy_optimized.csv,tool-heavy,optimized,5,1814.4,376.4,2190.8,3.249840332800159,0.16003745100060768,116.63836231686484,,100.0,1.0,6112.0,375.0,0.06135471204188482,,,,,True,agentmem_tool_heavy_config_1784890937,True,,6571.0,303.0,,,,
ttl_priority.csv,ttl-priority,ttl_priority,5,3958.0,437.2,4395.2,3.633212960200763,0.3782351274006942,120.94817641946172,,100.0,1.0,,,,,,,,True,agentmem_ttl_priority_config_1784891634,True,,6456.0,318.0,,,,
vllm_benchmark.csv,branching,both,256,3212.79296875,242.30859375,2561.8984375,2.0163753646718163,0.22487552209502906,99.7456156759709,,73.046875,0.8585436875,,,,,,,,True,agentmem_branching_config_1784891448,True,concurrent_agent_per_request_cache_not_collected,6456.0,318.0,,,,
