experiment_id,run_id,trial_id,agent_id,session_id,scenario,variant,model,seed,timestamp,git_commit,task_id,workload_file,mode,memory_mode,backend,round,stage,prompt_tokens,output_tokens,total_tokens,latency,total_latency,model_request_latency,ttft,ttft_status,ttft_reason,tool_execution_latency,tokens_per_second,tokens_per_second_status,tokens_per_second_reason,peak_gpu_memory_mb,peak_gpu_memory_mb_status,peak_gpu_memory_mb_reason,success,score,failure_reason,passed_checks,total_checks,extractor_effective,extractor_status,extractor_success_count,extractor_failure_count,refill_count,refill_tokens,initial_score,final_score,agent_meta_enabled,agent_meta_sent,agent_meta_agent_id,agent_meta_session_id,agent_meta_context_id,agent_meta_segment_type,agent_meta_priority,cache_stats_available,cache_stats_unavailable_reason,cache_stats_scope,cache_total_blocks,cache_total_blocks_status,cache_total_blocks_reason,cache_agent_sessions,cache_agent_sessions_status,cache_agent_sessions_reason,cache_tool_result_blocks,cache_tool_result_blocks_status,cache_tool_result_blocks_reason,cache_shared_prefix_blocks,cache_shared_prefix_blocks_status,cache_shared_prefix_blocks_reason,cache_scratchpad_blocks,cache_scratchpad_blocks_status,cache_scratchpad_blocks_reason,cache_expired_branch_blocks,cache_expired_branch_blocks_status,cache_expired_branch_blocks_reason,step,context_id,segment_type,priority,ttl,prompt_label
exp_261e2d8d168f,run_ade0f43a139e,trial_0e1d21e610a5,agentmem_cache_pressure_config_1784890874,cache_pressure_session_1,cache-pressure,sessions_4,Qwen2.5-7B-Instruct,20260721,2026-07-24T11:02:06Z,87a752d,cache_pressure_s1_step1,metric:cache-pressure,sessions_4,sessions_4,vllm,1,shared_prefix,5483,105,5588,2.723688577001667,2.723688577001667,2.723688577001667,0.9914432850000594,ok,,,38.55066283517175,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,1,1,,,,,,,,,True,True,agentmem_cache_pressure_config_1784890874,cache_pressure_session_1,cache_pressure_session_1:step_1:shared_prefix:shared_prefix,shared_prefix,high,True,,global,6579,ok,,298,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,1,cache_pressure_session_1:step_1:shared_prefix:shared_prefix,shared_prefix,high,3600,shared_prefix_session_1
exp_261e2d8d168f,run_ade0f43a139e,trial_0e1d21e610a5,agentmem_cache_pressure_config_1784890874,cache_pressure_session_2,cache-pressure,sessions_4,Qwen2.5-7B-Instruct,20260721,2026-07-24T11:02:06Z,87a752d,cache_pressure_s2_step1,metric:cache-pressure,sessions_4,sessions_4,vllm,1,shared_prefix,5483,99,5582,2.3030577980007365,2.3030577980007365,2.3030577980007365,0.6455225580011756,ok,,,42.98632890843686,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,1,1,,,,,,,,,True,True,agentmem_cache_pressure_config_1784890874,cache_pressure_session_2,cache_pressure_session_2:step_1:shared_prefix:shared_prefix,shared_prefix,high,True,,global,6579,ok,,298,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,1,cache_pressure_session_2:step_1:shared_prefix:shared_prefix,shared_prefix,high,3600,shared_prefix_session_2
exp_261e2d8d168f,run_ade0f43a139e,trial_0e1d21e610a5,agentmem_cache_pressure_config_1784890874,cache_pressure_session_3,cache-pressure,sessions_4,Qwen2.5-7B-Instruct,20260721,2026-07-24T11:02:06Z,87a752d,cache_pressure_s3_step1,metric:cache-pressure,sessions_4,sessions_4,vllm,1,shared_prefix,5483,98,5581,2.276747070998681,2.276747070998681,2.276747070998681,0.6590224849987862,ok,,,43.04386782718596,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,1,1,,,,,,,,,True,True,agentmem_cache_pressure_config_1784890874,cache_pressure_session_3,cache_pressure_session_3:step_1:shared_prefix:shared_prefix,shared_prefix,high,True,,global,6579,ok,,298,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,1,cache_pressure_session_3:step_1:shared_prefix:shared_prefix,shared_prefix,high,3600,shared_prefix_session_3
exp_261e2d8d168f,run_ade0f43a139e,trial_0e1d21e610a5,agentmem_cache_pressure_config_1784890874,cache_pressure_session_4,cache-pressure,sessions_4,Qwen2.5-7B-Instruct,20260721,2026-07-24T11:02:06Z,87a752d,cache_pressure_s4_step1,metric:cache-pressure,sessions_4,sessions_4,vllm,1,shared_prefix,5483,91,5574,2.1739406119995692,2.1739406119995692,2.1739406119995692,0.6601938460007659,ok,,,41.859469158312976,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,1,1,,,,,,,,,True,True,agentmem_cache_pressure_config_1784890874,cache_pressure_session_4,cache_pressure_session_4:step_1:shared_prefix:shared_prefix,shared_prefix,high,True,,global,6579,ok,,298,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,1,cache_pressure_session_4:step_1:shared_prefix:shared_prefix,shared_prefix,high,3600,shared_prefix_session_4
exp_261e2d8d168f,run_ade0f43a139e,trial_5f3ff690c0bc,agentmem_cache_pressure_config_1784890874,cache_pressure_session_1,cache-pressure,sessions_4,Qwen2.5-7B-Instruct,20260721,2026-07-24T11:02:06Z,87a752d,cache_pressure_s1_step2,metric:cache-pressure,sessions_4,sessions_4,vllm,2,tool_schema,5484,86,5570,2.2299616880009125,2.2299616880009125,2.2299616880009125,0.6476656089998869,ok,,,38.56568499035343,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,1,1,,,,,,,,,True,True,agentmem_cache_pressure_config_1784890874,cache_pressure_session_1,cache_pressure_session_1:step_2:tool_schema:tool_schema,tool_schema,high,True,,global,6579,ok,,298,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,2,cache_pressure_session_1:step_2:tool_schema:tool_schema,tool_schema,high,1800,tool_schema_session_1
exp_261e2d8d168f,run_ade0f43a139e,trial_5f3ff690c0bc,agentmem_cache_pressure_config_1784890874,cache_pressure_session_2,cache-pressure,sessions_4,Qwen2.5-7B-Instruct,20260721,2026-07-24T11:02:06Z,87a752d,cache_pressure_s2_step2,metric:cache-pressure,sessions_4,sessions_4,vllm,2,tool_schema,5484,87,5571,2.69434579100016,2.69434579100016,2.69434579100016,1.2391164799992112,ok,,,32.289842042770985,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,1,1,,,,,,,,,True,True,agentmem_cache_pressure_config_1784890874,cache_pressure_session_2,cache_pressure_session_2:step_2:tool_schema:tool_schema,tool_schema,high,True,,global,6579,ok,,298,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,2,cache_pressure_session_2:step_2:tool_schema:tool_schema,tool_schema,high,1800,tool_schema_session_2
exp_261e2d8d168f,run_ade0f43a139e,trial_5f3ff690c0bc,agentmem_cache_pressure_config_1784890874,cache_pressure_session_3,cache-pressure,sessions_4,Qwen2.5-7B-Instruct,20260721,2026-07-24T11:02:06Z,87a752d,cache_pressure_s3_step2,metric:cache-pressure,sessions_4,sessions_4,vllm,2,tool_schema,5484,89,5573,2.1372859469993273,2.1372859469993273,2.1372859469993273,0.6658442909993028,ok,,,41.64159696317323,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,1,1,,,,,,,,,True,True,agentmem_cache_pressure_config_1784890874,cache_pressure_session_3,cache_pressure_session_3:step_2:tool_schema:tool_schema,tool_schema,high,True,,global,6579,ok,,298,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,2,cache_pressure_session_3:step_2:tool_schema:tool_schema,tool_schema,high,1800,tool_schema_session_3
exp_261e2d8d168f,run_ade0f43a139e,trial_5f3ff690c0bc,agentmem_cache_pressure_config_1784890874,cache_pressure_session_4,cache-pressure,sessions_4,Qwen2.5-7B-Instruct,20260721,2026-07-24T11:02:06Z,87a752d,cache_pressure_s4_step2,metric:cache-pressure,sessions_4,sessions_4,vllm,2,tool_schema,5484,90,5574,2.167627939999875,2.167627939999875,2.167627939999875,0.8978696579997631,ok,,,41.52004056563563,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,1,1,,,,,,,,,True,True,agentmem_cache_pressure_config_1784890874,cache_pressure_session_4,cache_pressure_session_4:step_2:tool_schema:tool_schema,tool_schema,high,True,,global,6579,ok,,298,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,2,cache_pressure_session_4:step_2:tool_schema:tool_schema,tool_schema,high,1800,tool_schema_session_4
exp_261e2d8d168f,run_ade0f43a139e,trial_a81293a653e7,agentmem_cache_pressure_config_1784890874,cache_pressure_session_1,cache-pressure,sessions_4,Qwen2.5-7B-Instruct,20260721,2026-07-24T11:02:06Z,87a752d,cache_pressure_s1_step3,metric:cache-pressure,sessions_4,sessions_4,vllm,3,tool_result,5486,113,5599,2.996241368000483,2.996241368000483,2.996241368000483,0.6676137039994501,ok,,,37.71391757914671,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,1,1,,,,,,,,,True,True,agentmem_cache_pressure_config_1784890874,cache_pressure_session_1,cache_pressure_session_1:step_3:tool_result:tool_result,tool_result,normal,True,,global,6579,ok,,298,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,3,cache_pressure_session_1:step_3:tool_result:tool_result,tool_result,normal,300,tool_result_session_1
exp_261e2d8d168f,run_ade0f43a139e,trial_a81293a653e7,agentmem_cache_pressure_config_1784890874,cache_pressure_session_2,cache-pressure,sessions_4,Qwen2.5-7B-Instruct,20260721,2026-07-24T11:02:06Z,87a752d,cache_pressure_s2_step3,metric:cache-pressure,sessions_4,sessions_4,vllm,3,tool_result,5486,144,5630,3.8752705930000957,3.8752705930000957,3.8752705930000957,1.155132246998619,ok,,,37.15869551409063,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,1,1,,,,,,,,,True,True,agentmem_cache_pressure_config_1784890874,cache_pressure_session_2,cache_pressure_session_2:step_3:tool_result:tool_result,tool_result,normal,True,,global,6579,ok,,298,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,3,cache_pressure_session_2:step_3:tool_result:tool_result,tool_result,normal,300,tool_result_session_2
