scenario,task_id,workload_file,mode,memory_mode,backend,model,round,stage,prompt_tokens,output_tokens,total_tokens,latency,ttft,tokens_per_second,peak_gpu_memory_mb,success,score,failure_reason,passed_checks,total_checks,extractor_effective,extractor_status,extractor_success_count,extractor_failure_count,refill_count,refill_tokens,initial_score,final_score,session_id,history_tokens,full_history_tokens,summary_tokens,state_view_tokens,event_count,memory_delta_count,fact_count,decision_count,artifact_ref_count,snapshot_count,recent_turns,tool_names,early_fact_retention,initial_score,final_score,missing_keywords
long-session,long_session_memory_retention_r01,benchmarks/tasks/long_session.jsonl,summary_memory,summary_memory,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,1,planning,359,39,398,0.9175452740000765,0.32693793900034507,42.5047145956928,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,18,18,0,0,0,0,0,0,0,0,6,,0.5,1.0,1.0,"历史摘要,stable prefix,benchmark"
long-session,long_session_memory_retention_r02,benchmarks/tasks/long_session.jsonl,summary_memory,summary_memory,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,2,reflection,422,52,474,1.0853439170005004,0.295153587000641,47.91108070491542,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,49,49,0,0,0,0,0,0,0,0,6,,0.5,1.0,1.0,"历史摘要,stable prefix,benchmark"
long-session,long_session_memory_retention_r03,benchmarks/tasks/long_session.jsonl,summary_memory,summary_memory,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,3,reflection,500,39,539,0.8908140210005513,0.30310957900019275,43.78018203642067,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,90,90,0,0,0,0,0,0,0,0,6,,0.5,1.0,1.0,"历史摘要,stable prefix,benchmark"
long-session,long_session_memory_retention_r04,benchmarks/tasks/long_session.jsonl,summary_memory,summary_memory,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,4,reflection,563,27,590,0.697823323999728,0.29562162299953343,38.69174198025305,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,124,124,0,0,0,0,0,0,0,0,6,,0.666667,1.0,1.0,"历史摘要,benchmark"
long-session,long_session_memory_retention_r05,benchmarks/tasks/long_session.jsonl,summary_memory,summary_memory,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,5,tool_calling,850,41,891,0.9665661039998668,0.3416978690001997,42.466880760705024,-1,True,1.0,,2,2,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,191,191,0,0,0,0,0,0,0,0,6,calculator,0.666667,1.0,1.0,"历史摘要,benchmark"
long-session,long_session_memory_retention_r06,benchmarks/tasks/long_session.jsonl,summary_memory,summary_memory,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,6,reflection,820,60,880,1.233329810000214,0.318915036999897,48.64878762639297,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,227,227,0,0,0,0,0,0,0,0,6,,0.666667,1.0,1.0,"历史摘要,benchmark"
long-session,long_session_memory_retention_r07,benchmarks/tasks/long_session.jsonl,summary_memory,summary_memory,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,7,reflection,907,66,973,1.3568584479999117,0.3526924110001346,48.641772542513806,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,230,230,39,0,0,0,0,0,0,0,6,,0.666667,1.0,1.0,"历史摘要,benchmark"
long-session,long_session_memory_retention_r08,benchmarks/tasks/long_session.jsonl,summary_memory,summary_memory,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,8,reflection,994,66,1060,1.3513507130001017,0.34206546699988394,48.840023071046424,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,237,237,77,0,0,0,0,0,0,0,6,,0.833333,1.0,1.0,benchmark
long-session,long_session_memory_retention_r09,benchmarks/tasks/long_session.jsonl,summary_memory,summary_memory,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,9,reflection,1085,66,1151,1.3547746039994308,0.3433260980000341,48.716590793155824,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,253,253,110,0,0,0,0,0,0,0,6,,0.833333,1.0,1.0,benchmark
long-session,long_session_memory_retention_r10,benchmarks/tasks/long_session.jsonl,summary_memory,summary_memory,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,10,tool_calling,1424,58,1482,1.274002492999898,0.37515630699999747,45.95391727388186,-1,True,1.0,,2,2,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,297,297,153,0,0,0,0,0,0,0,6,calculator,0.833333,1.0,1.0,benchmark
long-session,long_session_memory_retention_r11,benchmarks/tasks/long_session.jsonl,summary_memory,summary_memory,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,11,reflection,1365,70,1435,1.4321979960004683,0.3568360520002898,48.87592371688887,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,278,278,183,0,0,0,0,0,0,0,6,,0.833333,1.0,1.0,benchmark
long-session,long_session_memory_retention_r12,benchmarks/tasks/long_session.jsonl,summary_memory,summary_memory,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,12,reflection,1463,70,1533,1.4407538039995416,0.3679632079993098,48.58567772348028,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,281,281,228,0,0,0,0,0,0,0,6,,0.833333,1.0,1.0,benchmark
long-session,long_session_memory_retention_r13,benchmarks/tasks/long_session.jsonl,summary_memory,summary_memory,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,13,reflection,1557,70,1627,1.4348938579996684,0.36024696999993466,48.78409619620532,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,278,278,277,0,0,0,0,0,0,0,6,,0.833333,1.0,1.0,benchmark
long-session,long_session_memory_retention_r14,benchmarks/tasks/long_session.jsonl,summary_memory,summary_memory,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,14,reflection,1584,70,1654,1.6271592339999188,0.5513106909993439,43.019760166879585,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,280,280,285,0,0,0,0,0,0,0,6,,0.833333,1.0,1.0,benchmark
long-session,long_session_memory_retention_r15,benchmarks/tasks/long_session.jsonl,summary_memory,summary_memory,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,15,tool_calling,1860,59,1919,1.4498707310003738,0.5419811700003265,40.74249506959072,-1,True,1.0,,2,2,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,308,308,307,0,0,0,0,0,0,0,6,calculator,0.833333,1.0,1.0,benchmark
long-session,long_session_memory_retention_r16,benchmarks/tasks/long_session.jsonl,summary_memory,summary_memory,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,16,reflection,1796,59,1855,1.2729022359999362,0.3663528800007043,46.35077096368849,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,281,281,343,0,0,0,0,0,0,0,6,,0.833333,1.0,1.0,benchmark
long-session,long_session_memory_retention_r17,benchmarks/tasks/long_session.jsonl,summary_memory,summary_memory,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,17,reflection,1856,71,1927,1.5300196839998534,0.4390371680001408,46.40463174590557,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,267,267,383,0,0,0,0,0,0,0,6,,1.0,1.0,1.0,
long-session,long_session_memory_retention_r18,benchmarks/tasks/long_session.jsonl,summary_memory,summary_memory,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,18,reflection,1823,71,1894,1.7180671409996648,0.6260962839996864,41.325509525016784,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,270,270,360,0,0,0,0,0,0,0,6,,1.0,1.0,1.0,
long-session,long_session_memory_retention_r19,benchmarks/tasks/long_session.jsonl,summary_memory,summary_memory,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,19,reflection,1793,71,1864,1.5963912730003358,0.5052136860003884,44.475312037104246,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,275,275,337,0,0,0,0,0,0,0,6,,1.0,1.0,1.0,
long-session,long_session_memory_retention_r20,benchmarks/tasks/long_session.jsonl,summary_memory,summary_memory,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,20,tool_calling,1972,58,2030,1.4859105229988927,0.6015569009996398,39.07203686108323,-1,True,1.0,,2,2,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,304,304,317,0,0,0,0,0,0,0,6,calculator,1.0,1.0,1.0,
long-session,long_session_memory_retention_r21,benchmarks/tasks/long_session.jsonl,summary_memory,summary_memory,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,21,reflection,1825,58,1883,1.3487343509996208,0.4600459490002322,43.00327930182324,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,275,275,309,0,0,0,0,0,0,0,6,,1.0,1.0,1.0,
