scenario,task_id,workload_file,mode,memory_mode,backend,model,round,stage,prompt_tokens,output_tokens,total_tokens,latency,ttft,tokens_per_second,peak_gpu_memory_mb,success,score,failure_reason,passed_checks,total_checks,extractor_effective,extractor_status,extractor_success_count,extractor_failure_count,refill_count,refill_tokens,initial_score,final_score,session_id,history_tokens,full_history_tokens,summary_tokens,state_view_tokens,event_count,memory_delta_count,fact_count,decision_count,artifact_ref_count,snapshot_count,recent_turns,tool_names,early_fact_retention,initial_score,final_score,missing_keywords
long-session,long_session_memory_retention_r01,benchmarks/tasks/long_session.jsonl,full_history,full_history,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,1,planning,708,31,739,1.436500967000029,0.9758390509996389,21.58021519800298,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,18,18,0,0,0,0,0,0,0,0,6,,0.5,1.0,1.0,"历史摘要,stable prefix,benchmark"
long-session,long_session_memory_retention_r02,benchmarks/tasks/long_session.jsonl,full_history,full_history,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,2,reflection,763,30,793,0.751995301999159,0.3049632679994829,39.89386625188458,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,47,47,0,0,0,0,0,0,0,0,6,,0.5,1.0,1.0,"历史摘要,stable prefix,benchmark"
long-session,long_session_memory_retention_r03,benchmarks/tasks/long_session.jsonl,full_history,full_history,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,3,reflection,819,34,853,0.8073319429995536,0.29336280600000464,42.11402793462713,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,81,81,0,0,0,0,0,0,0,0,6,,0.5,1.0,1.0,"历史摘要,stable prefix,benchmark"
long-session,long_session_memory_retention_r04,benchmarks/tasks/long_session.jsonl,full_history,full_history,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,4,reflection,877,166,1043,2.879917939999359,0.32051775399941107,57.6405312437607,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,115,115,0,0,0,0,0,0,0,0,6,,0.666667,1.0,1.0,"历史摘要,benchmark"
long-session,long_session_memory_retention_r05,benchmarks/tasks/long_session.jsonl,full_history,full_history,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,5,tool_calling,1100,19,1119,0.5939711309993072,0.3125171430001501,32.08248681582394,-1,True,1.0,,2,2,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,209,209,0,0,0,0,0,0,0,0,6,calculator,0.666667,1.0,1.0,"历史摘要,benchmark"
long-session,long_session_memory_retention_r06,benchmarks/tasks/long_session.jsonl,full_history,full_history,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,6,reflection,1144,31,1175,0.7646261740001137,0.2981008289998499,40.542687464940734,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,234,234,0,0,0,0,0,0,0,0,6,,0.666667,1.0,1.0,"历史摘要,benchmark"
long-session,long_session_memory_retention_r07,benchmarks/tasks/long_session.jsonl,full_history,full_history,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,7,reflection,1202,19,1221,0.5801840399999492,0.30386246199941525,32.7482293377144,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,269,269,0,0,0,0,0,0,0,0,6,,0.666667,1.0,1.0,"历史摘要,benchmark"
long-session,long_session_memory_retention_r08,benchmarks/tasks/long_session.jsonl,full_history,full_history,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,8,reflection,1240,34,1274,0.8140566429992759,0.3005698069991922,41.76613543098406,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,286,286,0,0,0,0,0,0,0,0,6,,0.833333,1.0,1.0,benchmark
long-session,long_session_memory_retention_r09,benchmarks/tasks/long_session.jsonl,full_history,full_history,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,9,reflection,1298,33,1331,0.7975796190003166,0.2981831430006423,41.375179623273326,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,318,318,0,0,0,0,0,0,0,0,6,,0.833333,1.0,1.0,benchmark
long-session,long_session_memory_retention_r10,benchmarks/tasks/long_session.jsonl,full_history,full_history,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,10,tool_calling,1392,20,1412,0.6108708459987611,0.3038052179999795,33.418434881624776,-1,True,1.0,,2,2,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,356,356,0,0,0,0,0,0,0,0,6,calculator,0.833333,1.0,1.0,benchmark
